HIP,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,M_V,dist (pc),Type,Lstar (Lsun),Angdiam (mas), Mass (Msun), WDS_sep, WDS_dmag, Detection Coronagraph ID,Characterization Coronagraph ID, EEID (mas), nexozodis (zodis),Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
      22263.0,      71.9012,     -16.9345,          NaN,      6.12200,      5.49000,          NaN,      4.80000,      4.46600,      4.11600,      3.99900,      4.88035,      13.2413,G3V,     0.985422,     0.672096,     0.995813,          NaN,          NaN,           1,           1,      74.9688,      1.40864,      2.11063,     0.505974,     0.235984,     0.951233
      22449.0,      72.4600,      6.96128,      3.62000,      3.67400,      3.19000,      2.77000,      2.66000,      2.36000,      2.15000,      2.05000,      3.66321,      8.04189,F6V,      2.86231,      1.62755,      1.35049,      73.1000,      8.09000,           3,           1,      210.378,      3.59093,      1.10000,     0.128763,     0.206006,     0.830393
      23311.0,      75.2042,     -5.75367,      8.27000,      7.26900,      6.22000,      5.36000,      5.12000,      4.45000,      3.87000,      3.80000,      6.48585,      8.84771,K3V,     0.317315,     0.865098,     0.720392,          NaN,          NaN,           1,           1,      63.6670,      1.83349,      1.53941,     0.144691,     0.244213,     0.984404
      23693.0,      76.3777,     -57.4727,          NaN,      5.23600,      4.71000,          NaN,      4.11000,      3.70100,      3.40700,      3.37100,      4.38310,      11.6247,F7V,      1.49933,     0.849575,      1.12268,      321.700,      4.34000,           2,           1,      105.334,     0.357610,      2.15755,     0.240174,     0.242387,     0.977042
      23941.0,      77.1821,     -4.45621,          NaN,      5.56500,      5.11000,          NaN,      4.56000,      4.32800,      3.92500,      3.92700,      3.10981,      25.1211,F2V,      4.73108,     0.649127,      1.55900,          NaN,          NaN,           1,           1,      86.5848,      1.23376,      3.64895,      1.36332,     0.130420,     0.525712
      24186.0,      77.9191,     -45.0184,      11.6240,      10.4030,      8.86000,      7.90000,      6.90000,      5.82100,      5.31600,      5.04900,      10.8861,      3.93350,M0V,    0.0215138,     0.767374,     0.333913,          NaN,          NaN,           1,           1,      37.2889,      7.08868,      1.10642,     0.226561,     0.244809,     0.986805
      25110.0,      80.6397,      79.2311,          NaN,      5.58500,      5.08000,      4.80000,      4.50000,      4.41600,      4.20100,      3.91100,      3.47249,      20.9654,F6V,      3.43668,     0.698891,      1.42293,      31.1000,      4.00000,           1,           1,      88.4232,     0.874780,      3.33276,      1.20683,     0.178121,     0.717993
      25278.0,      81.1061,      17.3835,          NaN,      5.54400,      5.00000,      4.70000,      4.38000,      4.43100,      4.02900,      4.03800,      4.18044,      14.5852,F8VSB,      1.82145,     0.759293,      1.18687,      106.700,      3.73000,           1,           1,      92.5329,      4.17469,      3.08751,      1.30668,     0.219193,     0.883549
      25623.0,      82.1087,     -3.49956,      9.86400,      8.76300,      7.65000,      6.96800,      6.39000,      5.61500,      5.11100,      4.88000,      7.09104,      12.9358,K5V,     0.200553,     0.502544,     0.631883,      44.1000,      2.46000,           1,           1,      34.6195,      1.24940,      1.51915,      1.31995,     0.101441,     0.408900
      25878.0,      82.8642,     -3.67723,      10.6260,      9.44400,      7.97000,      6.99600,      5.89000,      4.83000,      4.05000,      3.90000,      9.19050,      5.70032,M1V,    0.0659411,     0.966474,     0.459850,      276.500,      2.55000,           1,           1,      45.0484,      4.77886,      1.35866,     0.122034,     0.240337,     0.968779
