HIP,vmag,dist (pc),Type,EEID (mas),nexozodis (zodis),Detection Coronagraph ID,Characterization Coronagraph ID,Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
      113296.,      8.68000,      6.86763,M2:,      35.9234,      2.51759,           1,           1,      1.85636,     0.235818,     0.127369,     0.513415
      113357.,      5.45000,      15.4682,G5V,      76.8804,      18.7782,           2,           1,      3.37235,      1.64304,     0.206824,     0.833694
      114046.,      7.35000,      3.28711,M2/M3V,      61.1019,      5.65907,           2,           1,     0.955475,    0.0196993,     0.248049,     0.999868
      114430.,      5.91000,      27.6472,F5IV,      59.8793,      1.87735,           2,           1,      3.66798,      2.14354,     0.159097,     0.641307
      114924.,      5.58000,      20.5503,F7V,      71.0070,      6.11290,           2,           1,      3.42196,      1.79010,     0.191139,     0.770468
      114948.,      5.64000,      20.4599,F7V,      68.5568,      3.49589,           2,           1,      3.36364,      1.78280,     0.209542,     0.844647
      116085.,      6.76000,      16.8768,K2V,      44.5034,      2.56396,           2,           1,      1.81910,     0.945903,     0.168810,     0.680459
      116613.,      6.58000,      22.8411,G5,      45.6728,      1.49749,           2,           1,      1.90568,      1.06604,     0.117994,     0.475625
      116771.,      4.13000,      13.4328,F7V,      137.005,      10.6424,           3,           2,      1.26047,     0.396751,     0.187663,     0.756455
      117473.,      8.98000,      5.90463,M2V,      27.4872,      4.92930,           1,           4,      1.44479,      1.53984,     0.229576,     0.925402
      117712.,      6.36000,      10.9080,K3V,      57.1337,     0.210893,           2,           1,      1.67457,     0.400334,     0.233113,     0.939661
