HIP,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,M_V,dist (pc),Type,Lstar (Lsun),Angdiam (mas), Mass (Msun), WDS_sep, WDS_dmag, Detection Coronagraph ID,Characterization Coronagraph ID, EEID (mas),nexozodis (zodis),Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
3583,11.44,-47.552,          NaN,6.435,5.8,          NaN,5.08,4.666,4.155,4.298,4.92042,14.9939,G5IV,0.950055,0.584763,0.985468,16.6,7.64,2,1,65.007,6.0637,2.15951,0.697208,0.228828,0.92239
3765,12.0957,5.28061,7.22,6.63,5.74,4.99,4.77,4.37,3.72,3.61,6.38359,7.435,K2V,0.291211,0.837401,0.702937,2.7,          NaN,2,1,72.581,0.348517,1.07553,0.0433024,0.247791,0.998826
3810,12.2446,16.9406,          NaN,5.571,5.07,4.8,4.5,4.433,4.152,4.182,3.23971,23.2305,F8V...,4.25197,0.698787,1.51216,85.6,7.78,3,1,88.7639,2.85995,1.93097,0.977243,0.139659,0.562956
3821,12.2762,57.8152,4.04,4.047,3.46,2.94,2.8,2.37,2.02,1.99,4.62861,5.83819,G0VSB,1.22036,1.62312,1.05855,12.9,3.84,3,3,189.219,0.732871,0.542699,0.0235256,0.208526,0.840553
3909,12.5316,-10.6443,          NaN,5.684,5.17,          NaN,4.58,4.41,4.012,4.015,4.16575,15.88,F7IV-V,1.82153,0.677708,1.18689,          NaN,          NaN,2,1,84.99,10.8118,3.11102,1.48066,0.223086,0.899244
4151,13.2675,61.124,5.43,5.34,4.8,4.32,4.19,3.85,3.56,3.54,3.42913,18.8007,F8V,3.63259,0.828639,1.44565,144.6,4.94,3,1,101.376,8.15501,2.07135,0.961797,0.167367,0.674643
5862,18.7963,-45.5317,5.65,5.541,4.97,4.47,4.35,4,3.71,3.67,4.06408,15.1769,F8V,2.04585,0.794669,1.22693,          NaN,          NaN,3,1,94.244,2.33512,1.50105,0.518942,0.228253,0.920069
6706,21.5636,19.1723,          NaN,5.745,5.35,          NaN,4.89,4.866,4.557,4.347,3.30935,25.5935,F2V:var,3.90439,0.539318,1.47576,          NaN,          NaN,2,1,77.2053,1.5889,3.29971,1.79437,0.166075,0.669435
7339,23.6386,68.9481,          NaN,7.206,6.52,6.1,5.78,5.296,4.941,4.888,4.90313,21.0559,G6V,0.985255,0.446293,0.995765,          NaN,          NaN,2,1,47.1412,0.190346,1.9824,1.17111,0.180577,0.727893
7513,24.1993,41.4055,4.7,4.636,4.1,3.64,3.52,3.17,2.96,2.86,3.46285,13.41,F8V,3.51554,1.13847,1.43218,110.3,8.45,3,2,139.819,2.21254,0.840513,0.183786,0.186163,0.750408
7751,24.9481,-56.1964,          NaN,6.64,5.76,          NaN,4.83,          NaN,          NaN,          NaN,6.19417,8.18777,K0V,0.345432,0.817769,0.73808,11.5,0.12,2,1,71.782,0.903201,0.926204,0.101511,0.246914,0.995289
7978,25.6221,-53.7408,          NaN,6.071,5.52,          NaN,4.9,4.79,4.4,4.34,4.32421,17.3444,F8V,1.60009,0.602537,1.14374,          NaN,          NaN,2,1,72.9311,1.0843,2.35057,0.730812,0.230194,0.927893
7981,25.624,20.2685,6.57,6.076,5.24,4.55,4.36,3.83,3.39,3.25,5.83447,7.60512,K1V,0.462632,0.97651,0.80233,54.1,6.36,2,1,89.4359,2.86923,0.90822,0.0594066,0.243346,0.980907
8102,26.017,-15.9375,4.43,4.217,3.49,2.88,2.67,2.14,1.72,1.68,5.70644,3.60339,G8V,0.486334,1.89498,0.813866,137,10.32,3,2,193.533,146.257,0.652836,0.0413561,0.211929,0.85427
8362,26.9368,63.8525,6.84,6.434,5.63,4.99,4.82,4.31,3.88,3.84,5.62074,10.0427,K0V,0.551687,0.78129,0.843719,45.9,4.18,2,1,73.9598,150.18,3.93317,1.6814,0.211147,0.851117
8514,27.4536,-38.4028,          NaN,6.893,6.37,          NaN,5.77,5.416,5.173,5.069,4.30112,25.9284,F6V,1.61458,0.394152,1.14669,97.9,7.13,2,1,49.0065,0.855915,2.28442,1.48531,0.127231,0.51286
10138,32.6081,-50.8237,          NaN,6.932,6.12,6.1,5.24,4.79,4.25,4.125,5.9555,10.787,K0V,0.405432,0.630193,0.772639,2.4,7.03,2,1,59.028,1.88376,1.5882,0.225759,0.240795,0.970627
10644,34.2635,34.2242,5.5,5.447,4.84,4.5,4.08,3.53,3.29,3.08,4.63151,11.0078,G0V,1.23026,0.880196,1.061,0,          NaN,3,1,100.762,7.90621,1.38853,0.308916,0.243057,0.979745
10723,34.506,1.7578,          NaN,6.188,5.6,5.2,4.94,4.847,4.363,4.278,3.79083,23.0056,G0.5IV,2.64039,0.606544,1.3197,          NaN,          NaN,2,1,70.6318,1.15155,3.09161,1.226,0.189777,0.764976
10798,34.7438,-25.9457,          NaN,7.054,6.33,          NaN,5.5,5.056,4.694,4.551,5.78811,12.8344,G8V,0.450601,0.510474,0.796312,          NaN,          NaN,2,1,52.3023,9.16315,1.73734,0.604498,0.23057,0.929409
12114,39.0204,6.88687,          NaN,6.708,5.79,5.2,4.73,4.15,3.66,3.52,6.49267,7.23545,K3V,0.269375,0.852993,0.687456,1.7,10.84,2,1,71.732,0.25852,1.76676,0.0373169,0.247952,0.999476
12444,40.0518,-9.45288,          NaN,6.314,5.79,          NaN,5.19,4.907,4.655,4.53,4.0853,21.9251,F6V,1.9706,0.515438,1.21387,          NaN,          NaN,2,1,64.0262,1.71305,2.94186,1.24707,0.196968,0.793961
12653,40.6394,-50.8003,          NaN,5.961,5.4,5.4,4.78,4.75,4.32,4.138,4.20642,17.3267,G3IV,1.78949,0.644296,1.18089,          NaN,          NaN,2,1,77.2056,2.92922,3.06824,1.0849,0.231437,0.932904
12777,41.0499,49.2284,4.62,4.614,4.1,3.67,3.51,3.34,3.07,2.78,3.86385,11.1488,F7V,2.40544,1.10928,1.28503,19.9,5.84,3,2,139.113,2.17284,0.831086,0.171258,0.223507,0.900938
12843,41.2758,-18.5726,4.94,4.951,4.47,4.03,3.93,3.58,3.35,3.32,3.71848,14.1353,F5/F6V,2.71765,0.899443,1.33062,          NaN,          NaN,3,2,116.625,4.46484,1.17891,0.350857,0.204204,0.823131
